ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,2
Basic Problems B,Basic Problem B-02,5
Basic Problems B,Basic Problem B-03,1
Basic Problems B,Basic Problem B-04,3
Basic Problems B,Basic Problem B-05,4
Basic Problems B,Basic Problem B-06,5
Basic Problems B,Basic Problem B-07,6
Basic Problems B,Basic Problem B-08,6
Basic Problems B,Basic Problem B-09,5
Basic Problems B,Basic Problem B-10,3
Basic Problems B,Basic Problem B-11,1
Basic Problems B,Basic Problem B-12,1
Basic Problems C,Basic Problem C-01,3
Basic Problems C,Basic Problem C-02,1
Basic Problems C,Basic Problem C-03,4
Basic Problems C,Basic Problem C-04,8
Basic Problems C,Basic Problem C-05,3
Basic Problems C,Basic Problem C-06,7
Basic Problems C,Basic Problem C-07,7
Basic Problems C,Basic Problem C-08,8
Basic Problems C,Basic Problem C-09,2
Basic Problems C,Basic Problem C-10,7
Basic Problems C,Basic Problem C-11,4
Basic Problems C,Basic Problem C-12,7
Challenge Problems B,Challenge Problem B-01,2
Challenge Problems B,Challenge Problem B-02,2
Challenge Problems B,Challenge Problem B-03,2
Challenge Problems B,Challenge Problem B-04,2
Challenge Problems B,Challenge Problem B-05,2
Challenge Problems B,Challenge Problem B-06,2
Challenge Problems B,Challenge Problem B-07,2
Challenge Problems B,Challenge Problem B-08,2
Challenge Problems B,Challenge Problem B-09,2
Challenge Problems B,Challenge Problem B-10,2
Challenge Problems B,Challenge Problem B-11,2
Challenge Problems B,Challenge Problem B-12,2
Challenge Problems C,Challenge Problem C-01,8
Challenge Problems C,Challenge Problem C-02,8
Challenge Problems C,Challenge Problem C-03,8
Challenge Problems C,Challenge Problem C-04,8
Challenge Problems C,Challenge Problem C-05,8
Challenge Problems C,Challenge Problem C-06,8
Challenge Problems C,Challenge Problem C-07,-1
Challenge Problems C,Challenge Problem C-08,8
Challenge Problems C,Challenge Problem C-09,8
Challenge Problems C,Challenge Problem C-10,8
Challenge Problems C,Challenge Problem C-11,7
Challenge Problems C,Challenge Problem C-12,8
